YEAR,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Aust,condition,updated
2005,158,3792,255,2643,729,209,2696,934,11416,053,"27 July, 2020"
2006,175,3835,259,2780,717,260,2465,987,11478,053,"27 July, 2020"
2007,189,3627,224,2662,698,250,2485,1124,11259,053,"27 July, 2020"
2008,194,3222,203,2564,630,324,2187,1242,10566,053,"27 July, 2020"
2009,155,3453,163,2600,563,259,2190,1029,10412,053,"27 July, 2020"
2010,211,3498,169,2607,576,243,2182,976,10462,053,"27 July, 2020"
2011,178,3126,203,2153,570,202,1964,957,9353,053,"27 July, 2020"
2012,130,3071,191,2099,498,239,1960,997,9185,053,"27 July, 2020"
2013,167,3319,255,2160,546,211,2019,1146,9823,053,"27 July, 2020"
2014,163,3290,178,2274,519,216,1988,974,9602,053,"27 July, 2020"
2015,175,3295,196,2148,487,237,2067,949,9554,053,"27 July, 2020"
2016,168,5002,191,2388,499,235,2296,1106,11885,053,"27 July, 2020"
2017,127,3986,146,2046,464,208,1881,1073,9931,053,"27 July, 2020"
2018,133,3715,147,1824,388,174,1860,883,9124,053,"27 July, 2020"
2019,115,3315,130,1834,310,161,1676,868,8409,053,"27 July, 2020"
2020,71,1671,63,966,115,80,786,448,4200,053,"27 July, 2020"
1999,0,13,0,5,4,0,0,NN,22,050,"27 July, 2020"
2000,0,12,0,5,0,0,9,NN,26,050,"27 July, 2020"
2001,0,11,0,2,3,0,7,NN,23,050,"27 July, 2020"
2002,0,7,0,3,3,0,8,1,22,050,"27 July, 2020"
2003,0,12,0,1,1,0,12,0,26,050,"27 July, 2020"
2004,0,13,0,12,1,0,3,0,29,050,"27 July, 2020"
2005,0,13,0,11,8,0,4,2,38,050,"27 July, 2020"
2006,0,14,0,7,11,0,7,1,40,050,"27 July, 2020"
2007,0,11,0,9,24,0,9,4,57,050,"27 July, 2020"
2008,0,13,1,7,28,0,14,6,69,050,"27 July, 2020"
2009,0,8,0,13,31,0,13,0,65,050,"27 July, 2020"
2010,0,8,0,20,18,0,6,0,52,050,"27 July, 2020"
2011,0,12,0,7,16,0,16,2,53,050,"27 July, 2020"
2012,0,6,0,7,22,0,10,2,47,050,"27 July, 2020"
2013,0,9,1,13,24,0,22,4,73,050,"27 July, 2020"
2014,0,18,1,13,18,0,13,3,66,050,"27 July, 2020"
2015,0,9,0,15,18,0,7,0,49,050,"27 July, 2020"
2016,0,19,2,12,18,0,19,1,71,050,"27 July, 2020"
2017,0,23,0,10,10,0,19,3,65,050,"27 July, 2020"
2018,3,24,0,15,6,0,23,8,79,050,"27 July, 2020"
2019,1,31,1,12,6,0,8,10,69,050,"27 July, 2020"
2020,1,14,0,5,3,0,5,0,28,050,"27 July, 2020"
1999,1,7,0,0,0,0,2,NN,10,051,"27 July, 2020"
2000,0,9,0,0,0,1,2,NN,12,051,"27 July, 2020"
2001,0,6,0,1,0,0,6,1,14,051,"27 July, 2020"
2002,1,6,0,1,0,2,1,0,11,051,"27 July, 2020"
2003,1,6,0,0,0,0,5,0,12,051,"27 July, 2020"
2004,0,8,0,4,0,1,12,3,28,051,"27 July, 2020"
2005,2,7,0,8,0,0,11,2,30,051,"27 July, 2020"
2006,2,10,0,2,1,0,8,1,24,051,"27 July, 2020"
2007,1,8,0,3,0,0,6,0,18,051,"27 July, 2020"
2008,0,14,3,7,0,0,14,6,44,051,"27 July, 2020"
2009,0,17,0,3,0,0,8,5,33,051,"27 July, 2020"
2010,2,14,0,7,0,0,11,3,37,051,"27 July, 2020"
2011,2,21,0,6,0,0,8,4,41,051,"27 July, 2020"
2012,1,10,0,6,0,0,14,1,32,051,"27 July, 2020"
2013,1,19,0,2,0,0,8,4,34,051,"27 July, 2020"
2014,1,38,0,7,0,0,12,0,58,051,"27 July, 2020"
2015,0,21,0,1,1,1,15,2,41,051,"27 July, 2020"
2016,2,14,1,8,3,0,13,2,43,051,"27 July, 2020"
2017,0,19,0,11,1,1,12,4,48,051,"27 July, 2020"
2018,0,17,0,8,0,0,12,2,39,051,"27 July, 2020"
2019,0,25,3,4,2,1,14,4,53,051,"27 July, 2020"
2020,0,9,0,6,2,2,3,3,25,051,"27 July, 2020"
2001,14,248,95,394,137,0,177,230,1295,062,"27 July, 2020"
2002,19,1012,53,1142,291,7,594,544,3662,062,"27 July, 2020"
2003,8,862,151,888,311,7,645,615,3487,062,"27 July, 2020"
2004,1,937,39,615,75,3,205,186,2061,062,"27 July, 2020"
2005,42,1415,61,1691,277,19,594,463,4562,062,"27 July, 2020"
2006,80,677,41,1750,90,47,422,213,3320,062,"27 July, 2020"
2007,391,2056,183,4576,284,415,1597,1036,10538,062,"27 July, 2020"
2008,244,1854,200,3695,474,385,1300,1020,9172,062,"27 July, 2020"
2009,1264,12841,1979,18314,10764,1313,7038,5523,59036,062,"27 July, 2020"
2010,95,1597,480,3210,4260,107,2085,1625,13459,062,"27 July, 2020"
2011,270,5786,597,10383,4742,363,3211,1863,27215,062,"27 July, 2020"
2012,667,7986,443,16834,6288,1093,5996,5235,44542,062,"27 July, 2020"
2013,552,8394,480,5507,4827,297,5848,2399,28304,062,"27 July, 2020"
2014,1262,20889,810,17895,11041,675,9861,5253,67686,062,"27 July, 2020"
2015,1206,30270,676,28061,15651,1438,17288,5993,100583,062,"27 July, 2020"
2016,1604,35585,701,23294,7869,1055,12939,7837,90884,062,"27 July, 2020"
2017,3098,103857,1474,56614,28490,3509,48219,6020,251281,062,"27 July, 2020"
2018,476,17512,1195,15698,5897,452,11774,5866,58870,062,"27 July, 2020"
2019,4072,116446,1736,68074,27081,3137,69570,23246,313362,062,"27 July, 2020"
2020,189,7120,277,5901,1525,160,4573,1176,20921,062,"27 July, 2020"
2001,0,0,0,0,0,0,0,0,0,059,"27 July, 2020"
2002,0,0,0,0,0,0,0,0,0,059,"27 July, 2020"
2003,0,0,0,1,0,0,0,0,1,059,"27 July, 2020"
2004,0,0,0,1,0,0,0,0,1,059,"27 July, 2020"
2005,0,0,0,0,0,0,0,0,0,059,"27 July, 2020"
2006,0,0,0,0,0,0,0,0,0,059,"27 July, 2020"
2007,0,0,0,0,0,0,0,0,0,059,"27 July, 2020"
2008,0,1,0,0,0,0,0,0,1,059,"27 July, 2020"
2009,0,0,0,0,0,0,0,0,0,059,"27 July, 2020"
2010,0,0,0,0,0,0,0,0,0,059,"27 July, 2020"
2011,0,0,0,0,0,0,0,0,0,059,"27 July, 2020"
2012,0,0,0,1,0,0,0,0,1,059,"27 July, 2020"
2013,0,0,0,2,1,0,0,1,4,059,"27 July, 2020"
2014,0,0,0,0,1,0,0,0,1,059,"27 July, 2020"
2015,0,1,0,1,0,0,1,0,3,059,"27 July, 2020"
2016,0,0,0,0,0,0,0,0,0,059,"27 July, 2020"
2017,0,0,0,0,0,0,1,0,1,059,"27 July, 2020"
2018,0,0,0,0,0,0,0,0,0,059,"27 July, 2020"
2019,0,0,0,3,0,0,0,0,3,059,"27 July, 2020"
2020,0,0,0,0,1,0,0,0,1,059,"27 July, 2020"
1991,1,37,0,25,21,0,19,20,123,015,"27 July, 2020"
1992,0,104,1,27,23,1,3,30,189,015,"27 July, 2020"
1993,1,66,2,28,18,1,4,20,140,015,"27 July, 2020"
1994,0,60,5,17,26,1,41,25,175,015,"27 July, 2020"
1995,1,75,2,21,12,2,21,24,158,015,"27 July, 2020"
1996,2,74,2,24,29,2,36,39,208,015,"27 July, 2020"
1997,2,33,2,11,35,2,27,44,156,015,"27 July, 2020"
1998,2,45,3,36,76,4,64,30,260,015,"27 July, 2020"
1999,2,41,4,34,63,2,62,42,250,015,"27 July, 2020"
2000,5,41,1,48,88,4,248,36,471,015,"27 July, 2020"
2001,2,68,3,36,33,3,121,42,308,015,"27 July, 2020"
2002,3,44,1,43,68,0,103,54,316,015,"27 July, 2020"
2003,1,60,3,38,69,2,95,65,333,015,"27 July, 2020"
2004,1,80,2,32,47,1,99,50,312,015,"27 July, 2020"
2005,0,88,3,45,58,3,58,70,325,015,"27 July, 2020"
2006,1,78,3,35,65,3,70,92,347,015,"27 July, 2020"
2007,4,104,3,48,18,3,41,82,303,015,"27 July, 2020"
2008,4,90,1,30,21,1,54,71,272,015,"27 July, 2020"
2009,2,91,3,55,44,1,50,51,297,015,"27 July, 2020"
2010,6,97,3,42,31,6,68,54,307,015,"27 July, 2020"
2011,1,109,5,46,40,7,73,75,356,015,"27 July, 2020"
2012,0,103,3,71,37,12,71,85,382,015,"27 July, 2020"
2013,1,108,6,164,63,6,66,93,507,015,"27 July, 2020"
2014,2,70,7,93,41,8,88,116,425,015,"27 July, 2020"
2015,1,98,7,80,26,7,71,74,364,015,"27 July, 2020"
2016,2,136,0,49,29,9,74,69,368,015,"27 July, 2020"
2017,0,138,1,65,38,8,100,37,387,015,"27 July, 2020"
2018,7,179,0,54,34,9,121,45,449,015,"27 July, 2020"
2019,1,147,4,61,46,18,120,37,434,015,"27 July, 2020"
2020,1,79,2,42,31,6,76,44,281,015,"27 July, 2020"
1991,0,0,2,0,1,0,7,5,15,016,"27 July, 2020"
1992,1,5,3,0,0,0,2,5,16,016,"27 July, 2020"
1993,0,6,2,1,0,0,4,2,15,016,"27 July, 2020"
1994,0,4,1,2,0,0,3,2,12,016,"27 July, 2020"
1995,0,3,4,1,0,0,0,2,10,016,"27 July, 2020"
1996,0,2,3,0,0,0,0,3,8,016,"27 July, 2020"
1997,0,1,2,5,1,0,3,3,15,016,"27 July, 2020"
1998,0,0,1,0,1,0,0,1,3,016,"27 July, 2020"
1999,0,2,0,2,0,0,1,2,7,016,"27 July, 2020"
2000,0,2,0,1,1,0,0,0,4,016,"27 July, 2020"
2001,0,3,0,0,0,0,0,0,3,016,"27 July, 2020"
2002,0,0,2,2,0,0,2,3,9,016,"27 July, 2020"
2003,0,1,0,4,0,0,1,2,8,016,"27 July, 2020"
2004,0,4,1,1,0,0,0,0,6,016,"27 July, 2020"
2005,0,3,3,3,0,0,0,2,11,016,"27 July, 2020"
2006,0,2,1,1,1,0,0,2,7,016,"27 July, 2020"
2007,0,4,0,1,2,1,2,3,13,016,"27 July, 2020"
2008,0,4,1,3,0,0,2,1,11,016,"27 July, 2020"
2009,0,0,0,3,0,0,1,2,6,016,"27 July, 2020"
2010,0,1,0,2,1,0,4,2,10,016,"27 July, 2020"
2011,0,2,2,0,1,0,2,2,9,016,"27 July, 2020"
2012,0,3,0,1,0,0,4,0,8,016,"27 July, 2020"
2013,1,2,3,1,1,0,3,3,14,016,"27 July, 2020"
2014,0,1,0,2,1,0,1,5,10,016,"27 July, 2020"
2015,0,3,1,2,0,0,5,2,13,016,"27 July, 2020"
2016,0,6,1,4,0,1,2,7,21,016,"27 July, 2020"
2017,0,2,0,4,1,0,0,3,10,016,"27 July, 2020"
2018,0,0,0,3,0,0,2,1,6,016,"27 July, 2020"
2019,0,5,0,0,0,0,3,2,10,016,"27 July, 2020"
2020,0,1,0,0,0,0,0,0,1,016,"27 July, 2020"
1991,0,28,0,41,5,3,92,3,172,017,"27 July, 2020"
1992,0,21,1,34,9,4,76,5,150,017,"27 July, 2020"
1993,0,16,1,52,5,10,60,9,153,017,"27 July, 2020"
1994,1,14,2,56,6,2,31,1,113,017,"27 July, 2020"
1995,0,6,0,59,6,6,54,5,136,017,"27 July, 2020"
1996,0,33,0,108,1,6,55,2,205,017,"27 July, 2020"
1997,0,33,1,44,2,2,21,6,109,017,"27 July, 2020"
1998,0,50,3,110,1,1,18,10,193,017,"27 July, 2020"
1999,0,57,1,220,3,1,28,9,319,017,"27 July, 2020"
2000,1,53,9,133,8,0,36,4,244,017,"27 July, 2020"
2001,0,66,4,127,3,5,37,2,244,017,"27 July, 2020"
2002,0,39,3,94,2,2,18,2,160,017,"27 July, 2020"
2003,0,39,4,69,2,0,8,6,128,017,"27 July, 2020"
2004,0,40,2,121,1,0,8,5,177,017,"27 July, 2020"
2005,0,35,5,71,3,0,10,5,129,017,"27 July, 2020"
2006,0,17,2,115,1,1,6,3,145,017,"27 July, 2020"
2007,0,9,1,76,1,0,16,5,108,017,"27 July, 2020"
2008,0,17,1,88,0,0,4,1,111,017,"27 July, 2020"
2009,2,18,4,105,0,0,11,1,141,017,"27 July, 2020"
2010,1,22,2,86,2,1,14,5,133,017,"27 July, 2020"
2011,1,40,2,155,2,1,10,3,214,017,"27 July, 2020"
2012,0,22,1,64,2,0,13,3,105,017,"27 July, 2020"
2013,0,12,4,58,2,0,9,0,85,017,"27 July, 2020"
2014,0,14,2,56,1,1,7,3,84,017,"27 July, 2020"
2015,1,17,4,40,0,2,7,1,72,017,"27 July, 2020"
2016,0,14,1,90,2,1,16,6,130,017,"27 July, 2020"
2017,0,20,14,94,1,0,14,3,146,017,"27 July, 2020"
2018,0,57,7,56,0,0,17,5,142,017,"27 July, 2020"
2019,0,10,4,51,3,0,13,4,85,017,"27 July, 2020"
2020,0,5,1,47,1,0,0,2,56,017,"27 July, 2020"
1991,0,11,NN,7,NN,3,27,5,53,018,"27 July, 2020"
1992,0,13,NN,6,3,0,15,8,45,018,"27 July, 2020"
1993,1,12,NN,7,2,0,23,4,49,018,"27 July, 2020"
1994,1,10,0,13,3,0,7,1,35,018,"27 July, 2020"
1995,5,14,1,9,3,1,16,3,52,018,"27 July, 2020"
1996,1,22,0,7,15,1,17,4,67,018,"27 July, 2020"
1997,0,23,0,9,6,1,16,19,74,018,"27 July, 2020"
1998,1,28,0,4,2,2,12,4,53,018,"27 July, 2020"
1999,0,22,0,11,3,2,13,12,63,018,"27 July, 2020"
2000,0,18,3,13,7,3,10,13,67,018,"27 July, 2020"
2001,1,12,0,21,6,2,11,11,64,018,"27 July, 2020"
2002,0,11,0,20,2,3,13,13,62,018,"27 July, 2020"
2003,1,28,0,9,1,2,22,6,69,018,"27 July, 2020"
2004,1,30,1,8,3,1,14,9,67,018,"27 July, 2020"
2005,3,25,0,7,6,0,9,4,54,018,"27 July, 2020"
2006,1,26,0,3,5,0,13,13,61,018,"27 July, 2020"
2007,0,22,0,7,7,2,10,2,50,018,"27 July, 2020"
2008,1,34,0,12,1,1,11,8,68,018,"27 July, 2020"
2009,2,27,0,14,4,3,27,15,92,018,"27 July, 2020"
2010,2,26,0,9,1,3,27,3,71,018,"27 July, 2020"
2011,1,21,1,10,6,2,22,7,70,018,"27 July, 2020"
2012,0,39,0,5,4,3,34,8,93,018,"27 July, 2020"
2013,1,29,3,9,2,2,22,8,76,018,"27 July, 2020"
2014,1,23,2,17,6,4,22,5,80,018,"27 July, 2020"
2015,1,28,2,8,4,0,21,6,70,018,"27 July, 2020"
2016,0,34,0,14,4,1,26,6,85,018,"27 July, 2020"
2017,3,20,0,18,5,1,18,6,71,018,"27 July, 2020"
2018,0,19,0,13,5,1,27,8,73,018,"27 July, 2020"
2019,2,17,0,11,2,0,13,7,52,018,"27 July, 2020"
2020,0,8,0,4,1,1,2,3,19,018,"27 July, 2020"
2001,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2002,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2003,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2004,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2005,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2006,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2007,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2008,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2009,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2010,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2011,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2012,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2013,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2014,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2015,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2016,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2017,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2018,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2019,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
2020,0,0,0,0,0,0,0,0,0,064,"27 July, 2020"
1991,9,170,46,383,42,11,112,38,811,020,"27 July, 2020"
1992,26,109,32,337,35,14,133,40,726,020,"27 July, 2020"
1993,18,173,29,288,25,11,92,41,677,020,"27 July, 2020"
1994,24,183,41,295,32,14,85,32,706,020,"27 July, 2020"
1995,22,96,37,272,22,1,122,36,608,020,"27 July, 2020"
1996,27,202,26,405,21,5,108,56,850,020,"27 July, 2020"
1997,17,173,36,369,22,5,88,34,744,020,"27 July, 2020"
1998,25,158,28,294,22,5,81,40,653,020,"27 July, 2020"
1999,22,175,68,302,32,9,74,33,715,020,"27 July, 2020"
2000,18,230,83,407,42,7,121,58,966,020,"27 July, 2020"
2001,17,157,64,295,35,8,88,50,714,020,"27 July, 2020"
2002,13,105,24,206,14,15,63,27,467,020,"27 July, 2020"
2003,18,120,40,240,28,27,54,55,582,020,"27 July, 2020"
2004,17,100,40,248,20,15,67,35,542,020,"27 July, 2020"
2005,12,203,48,290,44,24,106,85,812,020,"27 July, 2020"
2006,11,138,66,259,34,26,118,119,771,020,"27 July, 2020"
2007,13,97,30,192,24,14,113,82,565,020,"27 July, 2020"
2008,22,115,19,158,17,8,104,84,527,020,"27 July, 2020"
2009,6,92,14,161,32,5,112,82,504,020,"27 July, 2020"
2010,11,122,13,124,8,5,67,54,404,020,"27 July, 2020"
2011,8,79,23,138,4,9,95,63,419,020,"27 July, 2020"
2012,11,70,17,99,8,7,82,50,344,020,"27 July, 2020"
2013,13,88,22,113,8,11,92,76,423,020,"27 July, 2020"
2014,10,88,11,87,6,4,71,48,325,020,"27 July, 2020"
2015,7,47,11,57,4,2,57,49,234,020,"27 July, 2020"
2016,9,59,17,73,9,3,79,56,305,020,"27 July, 2020"
2017,12,67,14,115,11,2,84,59,364,020,"27 July, 2020"
2018,10,70,18,138,34,3,84,51,408,020,"27 July, 2020"
2019,9,68,16,112,39,4,71,60,379,020,"27 July, 2020"
2020,1,21,2,45,6,2,17,26,120,020,"27 July, 2020"
1991,50,494,90,153,155,25,455,57,1479,021,"27 July, 2020"
1992,58,804,37,115,163,7,219,34,1437,021,"27 July, 2020"
1993,181,2344,7,977,88,850,191,42,4680,021,"27 July, 2020"
1994,118,1483,437,2345,66,31,186,128,4794,021,"27 July, 2020"
1995,41,596,78,199,6,54,150,58,1182,021,"27 July, 2020"
1996,9,191,29,90,13,20,94,32,478,021,"27 July, 2020"
1997,44,272,8,267,28,41,89,82,831,021,"27 July, 2020"
1998,8,119,1,35,6,36,30,50,285,021,"27 July, 2020"
1999,5,35,23,33,5,11,109,20,241,021,"27 July, 2020"
2000,3,35,0,28,11,0,21,10,108,021,"27 July, 2020"
2001,0,23,0,11,2,1,81,13,131,021,"27 July, 2020"
2002,0,7,0,8,2,0,14,0,31,021,"27 July, 2020"
2003,0,17,1,11,24,0,39,0,92,021,"27 July, 2020"
2004,0,11,3,0,6,0,15,9,44,021,"27 July, 2020"
2005,0,5,0,1,0,1,2,1,10,021,"27 July, 2020"
2006,1,60,0,2,9,11,12,29,124,021,"27 July, 2020"
2007,0,4,0,4,1,0,2,1,12,021,"27 July, 2020"
2008,0,39,3,11,2,0,2,8,65,021,"27 July, 2020"
2009,1,19,1,32,3,2,36,10,104,021,"27 July, 2020"
2010,1,25,2,14,2,0,15,11,70,021,"27 July, 2020"
2011,21,90,5,18,4,0,39,17,194,021,"27 July, 2020"
2012,0,170,2,4,6,0,11,6,199,021,"27 July, 2020"
2013,1,34,0,52,16,0,41,14,158,021,"27 July, 2020"
2014,7,67,52,72,16,5,77,43,339,021,"27 July, 2020"
2015,2,9,0,21,4,0,30,8,74,021,"27 July, 2020"
2016,2,18,0,15,11,3,39,11,99,021,"27 July, 2020"
2017,2,30,2,8,1,0,21,17,81,021,"27 July, 2020"
2018,3,19,0,14,2,1,26,38,103,021,"27 July, 2020"
2019,2,62,31,74,4,1,59,52,285,021,"27 July, 2020"
2020,0,11,0,6,0,0,4,4,25,021,"27 July, 2020"
1991,2,128,15,54,19,13,83,39,353,022,"27 July, 2020"
1992,2,121,12,39,21,14,11,27,247,022,"27 July, 2020"
1993,5,153,2,90,13,5,27,48,343,022,"27 July, 2020"
1994,5,142,5,93,21,6,7,53,332,022,"27 July, 2020"
1995,10,113,8,96,24,8,36,42,337,022,"27 July, 2020"
1996,8,161,9,89,18,11,51,32,379,022,"27 July, 2020"
1997,9,218,15,71,22,9,104,49,497,022,"27 July, 2020"
1998,2,185,14,106,28,14,56,71,476,022,"27 July, 2020"
1999,5,217,8,93,27,13,135,86,584,022,"27 July, 2020"
2000,5,248,9,66,32,15,161,86,622,022,"27 July, 2020"
2001,6,232,13,128,39,24,164,74,680,022,"27 July, 2020"
2002,6,211,9,122,31,26,211,67,683,022,"27 July, 2020"
2003,13,197,12,105,32,20,125,46,550,022,"27 July, 2020"
2004,11,146,12,84,13,18,81,40,405,022,"27 July, 2020"
2005,8,137,11,62,26,10,89,46,389,022,"27 July, 2020"
2006,5,101,6,68,18,5,86,21,310,022,"27 July, 2020"
2007,3,109,6,75,16,5,68,20,302,022,"27 July, 2020"
2008,3,80,8,85,20,1,64,24,285,022,"27 July, 2020"
2009,2,92,6,60,22,3,43,28,256,022,"27 July, 2020"
2010,1,73,3,53,25,6,43,22,226,022,"27 July, 2020"
2011,2,71,4,61,21,10,51,21,241,022,"27 July, 2020"
2012,1,65,4,64,29,7,35,18,223,022,"27 July, 2020"
2013,3,46,2,33,20,3,25,15,147,022,"27 July, 2020"
2014,2,37,3,39,33,2,33,18,167,022,"27 July, 2020"
2015,2,44,1,30,29,2,56,17,181,022,"27 July, 2020"
2016,2,71,2,45,27,5,79,21,252,022,"27 July, 2020"
2017,2,91,32,69,36,16,89,45,380,022,"27 July, 2020"
2018,2,72,11,58,34,11,53,40,281,022,"27 July, 2020"
2019,1,60,5,46,27,6,36,25,206,022,"27 July, 2020"
2020,1,12,0,18,2,2,12,7,54,022,"27 July, 2020"
1991,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
1992,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
1993,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
1994,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
1995,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
1996,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
1997,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
1998,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
1999,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2000,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2001,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2002,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2003,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2004,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2005,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2006,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2007,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2008,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2009,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2010,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2011,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2012,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2013,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2014,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2015,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2016,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2017,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2018,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2019,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
2020,0,0,0,0,0,0,0,0,0,079,"27 July, 2020"
1995,17,14,8,NN,11,9,81,17,157,043,"27 July, 2020"
1996,6,27,5,NN,14,3,51,19,125,043,"27 July, 2020"
1997,7,30,10,16,26,3,60,36,188,043,"27 July, 2020"
1998,5,38,5,31,8,3,46,38,174,043,"27 July, 2020"
1999,8,33,3,NN,12,4,72,39,171,043,"27 July, 2020"
2000,16,91,4,NN,15,1,43,39,209,043,"27 July, 2020"
2001,1,28,1,3,12,0,39,29,113,043,"27 July, 2020"
2002,0,29,1,6,10,0,11,13,70,043,"27 July, 2020"
2003,2,36,0,10,12,0,4,13,77,043,"27 July, 2020"
2004,3,65,0,17,4,0,3,10,102,043,"27 July, 2020"
2005,1,111,7,71,8,0,20,22,240,043,"27 July, 2020"
2006,1,155,7,58,20,0,16,17,274,043,"27 July, 2020"
2007,4,323,58,46,22,2,18,109,582,043,"27 July, 2020"
2008,0,77,52,29,18,2,13,95,286,043,"27 July, 2020"
2009,0,40,13,35,12,1,45,20,166,043,"27 July, 2020"
2010,1,40,2,25,1,0,13,15,97,043,"27 July, 2020"
2011,1,68,0,35,7,4,24,14,153,043,"27 July, 2020"
2012,6,106,0,32,7,1,30,19,201,043,"27 July, 2020"
2013,1,91,6,40,5,5,24,45,217,043,"27 July, 2020"
2014,2,79,1,46,19,5,11,23,186,043,"27 July, 2020"
2015,5,66,14,46,33,8,18,455,645,043,"27 July, 2020"
2016,1,67,137,62,20,4,32,481,804,043,"27 July, 2020"
2017,4,128,147,401,62,3,44,23,812,043,"27 July, 2020"
2018,1,71,39,475,11,1,18,18,634,043,"27 July, 2020"
2019,0,58,1,50,8,4,17,33,171,043,"27 July, 2020"
2020,13,41,3,26,10,0,10,9,112,043,"27 July, 2020"
2001,0,0,3,1,1,0,0,1,6,049,"27 July, 2020"
2002,0,0,0,0,0,0,0,2,2,049,"27 July, 2020"
2003,0,0,0,0,0,0,0,0,0,049,"27 July, 2020"
2004,0,0,1,0,0,0,0,0,1,049,"27 July, 2020"
2005,0,0,1,1,0,0,0,0,2,049,"27 July, 2020"
2006,0,0,0,0,0,0,0,1,1,049,"27 July, 2020"
2007,0,0,0,0,0,0,0,0,0,049,"27 July, 2020"
2008,0,1,0,0,0,0,0,1,2,049,"27 July, 2020"
2009,0,0,1,1,0,0,0,2,4,049,"27 July, 2020"
2010,0,0,0,0,0,0,0,0,0,049,"27 July, 2020"
2011,0,3,2,0,2,0,0,9,16,049,"27 July, 2020"
2012,0,0,0,1,0,0,0,0,1,049,"27 July, 2020"
2013,0,0,0,0,0,0,0,0,0,049,"27 July, 2020"
2014,0,0,0,0,0,0,0,0,0,049,"27 July, 2020"
2015,0,0,2,0,0,0,0,0,2,049,"27 July, 2020"
2016,0,0,0,0,0,0,0,0,0,049,"27 July, 2020"
2017,0,0,0,0,0,0,0,0,0,049,"27 July, 2020"
2018,0,0,1,0,0,0,0,0,1,049,"27 July, 2020"
2019,0,0,0,0,0,0,0,0,0,049,"27 July, 2020"
2020,0,0,0,0,0,0,0,0,0,049,"27 July, 2020"
1991,0,0,0,0,51,0,0,0,51,044,"27 July, 2020"
1992,0,0,0,0,49,0,0,0,49,044,"27 July, 2020"
1993,0,0,0,0,68,0,0,0,68,044,"27 July, 2020"
1994,0,0,0,0,68,0,0,0,68,044,"27 July, 2020"
1995,0,0,0,0,45,0,0,0,45,044,"27 July, 2020"
1996,0,0,0,0,54,0,0,0,54,044,"27 July, 2020"
1997,1,0,1,0,32,0,0,0,34,044,"27 July, 2020"
1998,0,0,0,0,34,0,0,0,34,044,"27 July, 2020"
1999,0,0,1,0,0,0,0,0,1,044,"27 July, 2020"
2000,1,0,2,0,0,0,0,0,3,044,"27 July, 2020"
